level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
block,Karnataka,Hassan,Arsikere,,karnataka|hassan|arsikere,ssp585,2020-2040,21.484426,#62a6d8
block,Gujarat,Amreli,Amreli,,gujarat|amreli|amreli,ssp585,2020-2040,28.784341,#4898a9
block,Delhi,East,East,,delhi|east|east,ssp585,2020-2040,33.770651,#49a47e
block,Tamil Nadu,Cuddalore,Nallur,,tamil nadu|cuddalore|nallur,ssp585,2020-2040,38.419109,#49af5a
block,Karnataka,Belagavi,Chikodi,,karnataka|belagavi|chikodi,ssp585,2020-2040,44.018712,#79c34c
block,West Bengal,Purulia,Jaipur,,west bengal|purulia|jaipur,ssp585,2020-2040,50.117765,#bcd654
block,Tamil Nadu,Mayiladuthurai,Kollidam,,tamil nadu|mayiladuthurai|kollidam,ssp585,2020-2040,56.601315,#f9db56
block,Odisha,Jharsuguda,Jharsuguda,,odisha|jharsuguda|jharsuguda,ssp585,2020-2040,66.993546,#f68634
block,Assam,Nagaon,Pachim Kaliabor,,assam|nagaon|pachim kaliabor,ssp585,2020-2040,83.283037,#d92a28
block,Meghalaya,East Khasi Hills,Shella Bholaganj,,meghalaya|east khasi hills|shella bholaganj,ssp585,2020-2040,98.722008,#97161a
block,Ladakh,Leh Ladakh,Panamic,,ladakh|leh ladakh|panamic,ssp585,2040-2060,0.019165,#e2f4fd
block,Karnataka,Chikkaballapura,Chikballapur,,karnataka|chikkaballapura|chikballapur,ssp585,2040-2060,16.525255,#77b8e3
block,Tamil Nadu,Tirunelveli,Palayamkottai,,tamil nadu|tirunelveli|palayamkottai,ssp585,2040-2060,26.914917,#4892ba
block,Uttar Pradesh,Firozabad,Eka,,uttar pradesh|firozabad|eka,ssp585,2040-2060,33.95365,#49a47e
block,Telangana,Mahabubabad,Mahbubabad,,telangana|mahabubabad|mahbubabad,ssp585,2040-2060,38.967212,#49b153
block,Himachal Pradesh,Kangra,Nurpur,,himachal pradesh|kangra|nurpur,ssp585,2040-2060,43.57954,#79c34c
block,Telangana,Adilabad,Bazarhatnoor,,telangana|adilabad|bazarhatnoor,ssp585,2040-2060,49.416322,#b2d353
block,Maharashtra,Nagpur,Kalmeshwar,,maharashtra|nagpur|kalmeshwar,ssp585,2040-2060,55.788534,#fae259
block,Puducherry,Karaikal,Karaikal,,puducherry|karaikal|karaikal,ssp585,2040-2060,62.506074,#f7a842
block,Nagaland,Mon,Tizit,,nagaland|mon|tizit,ssp585,2040-2060,71.240025,#f26529
block,Bihar,Pashchim Champaran,Piprasi,,bihar|pashchim champaran|piprasi,ssp585,2040-2060,85.710703,#cf1e27
block,Meghalaya,East Khasi Hills,Mawsynram,,meghalaya|east khasi hills|mawsynram,ssp585,2040-2060,98.975569,#97161a
block,Ladakh,Leh Ladakh,Panamic,,ladakh|leh ladakh|panamic,ssp585,2060-2080,0.072069,#e2f4fd
block,Karnataka,Chamarajanagara,Kollegala,,karnataka|chamarajanagara|kollegala,ssp585,2060-2080,22.611391,#579bd2
block,Haryana,Nuh,Ferozepur Jhirka,,haryana|nuh|ferozepur jhirka,ssp585,2060-2080,34.857946,#49a773
block,Telangana,Hanumakonda,Dharmasagar,,telangana|hanumakonda|dharmasagar,ssp585,2060-2080,42.224243,#62bc49
block,Andhra Pradesh,Kakinada,Sankhavaram,,andhra pradesh|kakinada|sankhavaram,ssp585,2060-2080,47.898095,#a4cf51
block,Bihar,Nawada,Akbarpur,,bihar|nawada|akbarpur,ssp585,2060-2080,52.42619,#d4dd57
block,Bihar,Munger,Sangrampur,,bihar|munger|sangrampur,ssp585,2060-2080,57.957125,#f9d152
block,Jharkhand,Ranchi,Sonahatu,,jharkhand|ranchi|sonahatu,ssp585,2060-2080,63.534781,#f7a13f
block,Jharkhand,Pakur,Littipara,,jharkhand|pakur|littipara,ssp585,2060-2080,69.524955,#f56d2a
block,Uttar Pradesh,Pilibhit,Bilsanda,,uttar pradesh|pilibhit|bilsanda,ssp585,2060-2080,76.950039,#e64929
block,Bihar,Pashchim Champaran,Sikta,,bihar|pashchim champaran|sikta,ssp585,2060-2080,88.171204,#c71d25
block,Meghalaya,East Khasi Hills,Mawsynram,,meghalaya|east khasi hills|mawsynram,ssp585,2060-2080,99.069143,#97161a
district,Ladakh,Leh Ladakh,,ladakh|leh ladakh,,historical,1990-2010,0.045554,#e2f4fd
district,Karnataka,Vijayapura,,karnataka|vijayapura,,historical,1990-2010,8.400146,#aee0f8
district,Uttarakhand,Uttar Kashi,,uttarakhand|uttar kashi,,historical,1990-2010,14.783771,#82c2e9
district,Tamil Nadu,Tirunelveli,,tamil nadu|tirunelveli,,historical,1990-2010,21.009475,#62a6d8
district,Rajasthan,Salumbar,,rajasthan|salumbar,,historical,1990-2010,26.685496,#4892ba
district,Uttar Pradesh,Sambhal,,uttar pradesh|sambhal,,historical,1990-2010,31.310739,#489d97
district,Chhattisgarh,Balrampur,,chhattisgarh|balrampur,,historical,1990-2010,38.830175,#49b153
district,Karnataka,Hassan,,karnataka|hassan,,historical,1990-2010,45.222911,#82c64d
