local_day,latitude,longitude,irt_shade_day_mean,irt_shade_day_peak,irt_swbgt_day_mean,irt_swbgt_day_peak,bernard_day_mean,bernard_day_peak,liljegren_day_mean,liljegren_day_peak,t_c_day_mean,t_c_day_peak,rh_day_mean,irt_shade_deployed,irt_swbgt_deployed
2024-05-21,16.0,77.0,27.137741324198036,29.70805943388654,32.56849767602579,35.107404656253024,27.17229079840931,29.626625342633886,28.543993908357717,33.67313441950148,31.53302,37.610504,61.16611956479571,27.35909074223924,32.92750132867654
2024-05-21,16.0,77.25,27.203447079976854,29.44182958008394,32.72204088956641,34.97110783398743,27.242205591760662,29.382024745858708,28.72731433785683,34.26633765322879,31.284729,36.46402,63.44182338487163,27.39305645617302,33.038548198308995
2024-05-21,16.0,77.5,27.3792996566912,29.436491620693012,32.99939672843493,35.024987590544534,27.42189853126216,29.38336595673646,28.990852646366772,34.589044236526206,31.260477,36.159943,64.86544701904246,27.534529032831806,33.263700391855465
2024-05-21,16.0,77.75,27.596573045209098,29.642433217675404,33.34614073298403,35.60177038392466,27.641492122059258,29.623727614771862,29.38929625894524,34.84969958501557,31.21694,35.710724,66.96083554924276,27.732843800020294,33.584074270432794
2024-05-21,16.0,78.0,27.79577462607286,29.909795308491336,33.65214285118292,36.03225705338896,27.84156706556247,29.8962564400443,29.65892409653415,35.43214437851128,31.24819,35.49405,68.3627144356945,27.921186628029375,33.87355849578728
2024-05-21,16.0,78.25,27.753815826224784,29.53904232571355,33.581482889300595,35.408957376251394,27.79825801247829,29.514805426525676,29.65049813440375,35.1801837761559,31.244364,35.576813,68.10936957332252,27.88894034847933,33.82346884803208
2024-05-21,16.0,78.5,27.675937294024447,29.45030772234506,33.43218664387303,35.220849327169674,27.71713527713098,29.41839015691174,29.419913740255755,34.689631709525656,31.349997,35.755768,66.70815976019561,27.829845289447192,33.70486133420857
2024-05-21,16.0,78.75,27.070245001325972,28.936498368759068,32.71757580071221,34.5988525965758,27.120805984157403,28.91902854594773,28.47021993811856,32.3995774870171,30.344055,34.986115,69.73429291454933,27.215253835136473,32.979079511113575
2024-05-21,16.0,79.0,27.5429335290891,29.153586198316347,33.299084491503315,34.84287194429614,27.590833640664247,29.127634951760257,28.826609361060843,32.461187027480264,31.036844,35.115143,67.92085124974435,27.670985723469194,33.52956280672972
2024-05-21,16.0,79.25,28.55477473876773,29.9429745875638,34.5681086850588,35.82064612582241,28.583907304497203,29.88633988757332,29.84796802570212,33.46563216572031,32.3963,36.573395,65.7782084111589,28.70997070331564,34.85287768309006
2024-05-21,16.0,79.5,29.05322604391111,30.4820317291116,35.25972278509054,36.55729269372722,29.07716900720305,30.418966294887593,30.32722062397278,33.990467018111644,32.853413,37.12088,66.37070603957204,29.21071420244067,35.5552498570593
2024-05-21,16.0,79.75,29.258995812330753,30.73926360032459,35.59586443004701,37.050728288747166,29.284473503693434,30.67679987169522,30.424908006095446,34.24113897515616,32.866596,37.269318,67.90805450652402,29.40329680222586,35.87340874438128
2024-05-21,16.0,80.0,29.46676906340069,31.063555703292423,35.9155598647226,37.29605288818258,29.493123536012963,30.99759157393907,30.537935544891564,34.668046329782555,32.97345,37.597443,68.73083863686922,29.60056605732902,36.176210904271954
2024-05-21,16.0,80.25,29.540816310675527,31.19528234913998,36.15255078528629,37.782618291562535,29.57843107859169,31.162170683768018,30.671801183403755,35.03786276880936,32.594788,36.75174,72.06267929057445,29.62337422183417,36.31858062104468
2024-05-21,16.0,80.5,29.641562455073693,31.333987408393792,36.3847727944033,38.312528291163915,29.684251744161035,31.323300197223876,30.853130526731693,35.5700312095924,32.389954,36.236115,74.47187625866209,29.69939665653412,36.502110146186546
2024-05-21,16.0,80.75,29.550064835084175,31.47304829569333,36.20184293356356,38.35399559221575,29.595120688555156,31.456463758931235,30.73953776662606,35.55354496300163,32.521626,36.505646,72.48953685363661,29.60189769557862,36.30188554424691
2024-05-21,16.0,81.0,29.46147028869186,31.013517894190738,36.186468499215515,38.02569429580683,29.51591506175059,31.03534577993269,30.67717236927255,35.015071733051,32.05882,34.99588,75.37565327639682,29.481792160284435,36.220295640036426
2024-05-21,16.25,77.0,27.23649008048756,29.805372625279794,32.67111725575406,35.25266499954393,27.268816168105104,29.72353738357688,28.637838484434713,33.72102361789939,31.755676,37.628082,60.120512865493765,27.44225135869784,33.00267445459264
2024-05-21,16.25,77.25,27.29522042730883,29.478077367286687,32.81900301588637,34.98782907564163,27.333021145992458,29.414622828228314,28.8199416386268,34.2392009248461,31.492575,36.579865,62.41982698416431,27.46863951710614,33.10624201468026
2024-05-21,16.25,77.5,27.458769937691386,29.437790055713197,33.11718138852692,35.272111506901346,27.50208570105622,29.414706316708745,29.130244199037946,34.65651133079473,31.276672,36.191193,65.3063580339848,27.600383971933624,33.36249108011503
2024-05-21,16.25,77.75,27.676058916336967,29.895860519823657,33.467317737774444,36.07294277247757,27.72207736733203,29.889897857930478,29.514310866074567,35.0505672259099,31.229471,35.736115,67.44432697256885,27.799559508237614,33.68600530510617
2024-05-21,16.25,78.0,27.59439967560802,29.66250037383967,33.36366899225002,35.65337689298612,27.640380717183856,29.646658810370642,29.494379269130775,35.14990179045304,31.119852,35.392365,67.72097245878227,27.72707381470641,33.59802064504213
2024-05-21,16.25,78.25,27.48167194672204,29.33025834940227,33.19731974678107,35.11956668453179,27.526180007814954,29.307419002032958,29.431586413250898,34.95199234032157,31.05841,35.54361,67.37898566905444,27.630266325840342,33.46075246600395
2024-05-21,16.25,78.5,27.44328123165688,29.269438844852466,33.09380004983356,34.98969081562612,27.484732801910976,29.24109228521069,29.13229792305407,34.299887414789566,31.25234,35.94522,65.60609669585868,27.611800685477878,33.38609676983947
2024-05-21,16.25,78.75,27.162813079888608,28.925109247998137,32.76124484727986,34.404827697462466,27.209542473905632,28.88491220796795,28.544173590853443,32.647398047702836,30.80239,35.42569,66.81994068595814,27.325035532439173,33.04553085328236
2024-05-21,16.25,79.0,27.564811323834846,29.247578144807605,33.26457627794275,34.861559806223894,27.60781366414921,29.207079602150685,28.92106208705481,32.78303649220834,31.333557,35.622955,65.79313790619969,27.70976702813084,33.52003430648944
2024-05-21,16.25,79.25,28.402140423895446,29.964802195946277,34.3868475316042,35.872454862860764,28.43506019079688,29.91272885256209,29.87162610480671,33.73569724535537,32.146137,36.43741,66.42020841475708,28.548715656544807,34.65574237330653
2024-05-21,16.25,79.5,28.94447476790806,30.47798688711814,35.13225098749463,36.58092267165709,28.970525455955652,30.424780425418973,30.391534407561455,34.128514259453084,32.655903,36.80838,67.00103992050795,29.0979786196,35.42165913029149
2024-05-21,16.25,79.75,29.121113762288484,30.676815776997046,35.379801437938944,36.88873273944373,29.14468056649098,30.615329787358988,30.370506282620187,34.2514882112244,32.81476,37.197052,67.28932980037855,29.2819243051537,35.68448814529552
2024-05-21,16.25,80.0,29.328550145443618,31.00390518717566,35.69528891983473,37.21220560123534,29.353133286540423,30.938518508254276,30.483314326111906,34.65478166581062,32.92763,37.53885,68.03675857423465,29.47616312723243,35.97902168477198
2024-05-21,16.25,80.25,29.48305200174148,31.30234042337498,35.93982147975728,37.64571625876251,29.508432215165797,31.23545721665696,30.629216002854122,34.92783549769291,32.980854,37.790802,68.8376499876493,29.620033399532545,36.207095356596604
2024-05-21,16.25,80.5,29.590897667908223,31.46763186374342,36.15917252330426,38.046687957659934,29.621672924292707,31.41759782756387,30.82524417010963,35.4537302204962,32.860577,37.42166,70.50828262006995,29.69909793458389,36.37450984570322
2024-05-21,16.25,80.75,29.528152174246063,31.662413813101384,36.08450101589151,38.37047552845063,29.562232481161875,31.615451042843993,30.849768837473757,35.69209917261543,32.76593,37.48221,70.64282652364433,29.624356833158807,36.273739626024536
2024-05-21,16.25,81.0,29.41443308598816,31.245142013735002,36.04033094122338,38.136076993787526,29.460218068534175,31.232593049626566,30.86584443464085,36.34993678529662,32.261127,36.222443,73.5262682308958,29.4693887801083,36.14721443357518
2024-05-21,16.5,77.0,27.433578254188774,29.968414234369853,32.879462729453174,35.488860394167865,27.46117881050709,29.885606468357366,28.85977207034989,34.43438000825455,32.190002,37.698395,58.34001454748769,27.63030521620589,33.18854168603309
2024-05-21,16.5,77.25,27.457581377175334,29.8247001479763,32.99709393857377,35.4180237509611,27.49064170105831,29.75380634258991,29.02700151055836,34.531431520845445,31.798727,37.048004,61.47262942780309,27.643022570895226,33.30338689075104
2024-05-21,16.5,77.5,27.6424342191973,29.65045171007063,33.33020068986086,35.545073979703204,27.681131725627115,29.623064229059537,29.34655582778427,34.750438523425885,31.579,36.404083,64.50301225843094,27.792201126811676,33.590202416129834
2024-05-21,16.5,77.75,27.646889382232406,29.80516771628075,33.34962769976235,35.766683463319374,27.686088288229474,29.77745163331474,29.36853250658524,34.799329008131735,31.518942,36.238068,65.02671399938414,27.796277161342466,33.61119727856673
2024-05-21,16.5,78.0,27.46123152783242,29.499119987638856,33.09127278912805,35.17668281647859,27.50061721437359,29.453134494552682,29.195044353027246,34.68510101506678,31.390524,35.95291,64.61589050726566,27.62809081345898,33.37858859916167
2024-05-21,16.5,78.25,27.323834147015344,29.292361786763927,32.86818525721566,34.85149139232674,27.361231950957123,29.24306021564694,28.973287255432144,34.63210519899587,31.445211,36.08658,63.22165807814687,27.517878910966214,33.19388833481923
2024-05-21,16.5,78.5,27.32609000102322,29.233766891687214,32.81146975248353,34.762532426183704,27.359850186162237,29.183898267418463,28.751604874365572,33.29611149619433,31.726624,36.753815,61.1806805756032,27.541228984508905,33.162663723235866
2024-05-21,16.5,78.75,27.648853789447855,29.54459146608469,33.22271196551153,35.01623024699223,27.678614388257284,29.474669180096463,28.976248497175742,33.232055520817596,32.086163,36.966705,61.03085890192549,27.858400524786223,33.569533606610854
2024-05-21,16.5,79.0,28.11954827666514,29.853272577620295,33.82009299858886,35.446689382809076,28.142173392814684,29.781126189461435,29.493731236059848,33.3846888209801,32.65509,37.238068,60.408728186059456,28.313060610032515,34.14494670441595
2024-05-21,16.5,79.25,28.786245294897224,30.43909015036731,34.82925525156943,36.40931720073374,28.809722260063044,30.377517381666266,30.3278899384599,34.123232394855336,32.849102,37.04483,64.16259107717529,28.945390794813623,35.11767986574146
2024-05-21,16.5,79.5,29.01109295158729,30.55263129661994,35.21481688430651,36.72425137041761,29.037853977935644,30.50302217538454,30.59276057630385,34.43071088270602,32.779602,36.75186,66.47501129811718,29.153276560880393,35.479904698108804
2024-05-21,16.5,79.75,29.15717320121813,30.73057595259962,35.42265452453325,37.06988013749289,29.181596843261193,30.675508990126268,30.629441547633423,34.594372639935784,32.89557,37.036896,66.85420124677474,29.307353630036744,35.70481337946683
2024-05-21,16.5,80.0,29.280873208992343,30.908582072610614,35.60283652148913,37.19798178998647,29.302447429560875,30.846146291994515,30.511096282933533,34.68926186243522,32.9693,37.3826,67.40362975289928,29.441549544832775,35.90929505347002
2024-05-21,16.5,80.25,29.43796968349548,31.170854701071182,35.82653083131202,37.430477582361966,29.457967763801566,31.102041002966846,30.628766345026637,34.85279758251204,33.103985,37.759552,67.65046746688256,29.598012508869708,36.13546563099122
2024-05-21,16.5,80.5,29.407375734332902,31.27530092784051,35.84128162902507,37.708200763480214,29.433404276734894,31.219867136132066,30.638343551704793,35.06255117734139,32.873516,37.43338,69.03084600014074,29.5405444985146,36.102463952345595
2024-05-21,16.5,80.75,29.321996016325798,31.454164027766826,35.80494511228249,38.16351905413175,29.357579861105137,31.419645156796733,30.6516645359081,35.30457187724727,32.519836,36.98416,70.90533527237251,29.41974329801081,35.99524050703169
2024-05-21,16.5,81.0,29.35178905629678,31.19918397616398,35.90182435891743,37.89125905675177,29.39110645345943,31.17530727789555,30.798467449160654,35.330681464094596,32.349102,36.50174,72.47021361430511,29.434553212611185,36.065539545514056
2024-05-21,16.75,77.0,27.505431085483263,30.235247021917207,33.08529476929487,36.369870337973396,27.545377235517833,30.20439916762988,29.034223140531395,34.368059484288096,31.833557,37.048737,61.141789211292604,27.636264025809414,33.28441201794853
