level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
block,Tripura,Sepahijala,Bishalgarh,,tripura|sepahijala|bishalgarh,ssp585,2020-2040,24.662573,#4b90cb
block,Odisha,Anugul,Palalahada,,odisha|anugul|palalahada,ssp585,2020-2040,32.624383,#49a285
block,Andhra Pradesh,West Godavari,Akividu,,andhra pradesh|west godavari|akividu,ssp585,2020-2040,41.136517,#54b847
block,Uttar Pradesh,Kushi Nagar,Tamkuhiraj,,uttar pradesh|kushi nagar|tamkuhiraj,ssp585,2020-2040,48.538773,#b2d353
block,Uttar Pradesh,Sitapur,Gondlamau,,uttar pradesh|sitapur|gondlamau,ssp585,2020-2040,57.390634,#f9db56
block,Uttar Pradesh,Azamgarh,Rani Ki Sarai,,uttar pradesh|azamgarh|rani ki sarai,ssp585,2020-2040,66.986148,#f68634
block,Telangana,Jagitial,Korutla,,telangana|jagitial|korutla,ssp585,2020-2040,74.219555,#ed5729
block,Andhra Pradesh,Kurnool,Nandavaram,,andhra pradesh|kurnool|nandavaram,ssp585,2020-2040,79.574158,#df3828
block,Maharashtra,Aurangabad,Phulambri,,maharashtra|aurangabad|phulambri,ssp585,2020-2040,88.773326,#c11c24
block,Rajasthan,Jaisalmer,Sam,,rajasthan|jaisalmer|sam,ssp585,2020-2040,99.990889,#921519
block,Andaman & Nicobar Islands,Nicobars,Campbell Bay,,andaman nicobar islands|nicobars|campbell bay,ssp585,2040-2060,0.051084,#e2f4fd
block,Arunachal Pradesh,Papum Pare,Sagalee,,arunachal pradesh|papum pare|sagalee,ssp585,2040-2060,12.630039,#8ecdef
block,West Bengal,Medinipur West,Narayangarh,,west bengal|medinipur west|narayangarh,ssp585,2040-2060,24.737622,#4b90cb
block,Tamil Nadu,Perambalur,Veppur,,tamil nadu|perambalur|veppur,ssp585,2040-2060,32.320144,#489f90
block,Odisha,Balangir,Deogaon,,odisha|balangir|deogaon,ssp585,2040-2060,40.579995,#54b847
block,Uttar Pradesh,Bijnor,Noorpur,,uttar pradesh|bijnor|noorpur,ssp585,2040-2060,48.037678,#a4cf51
block,Uttar Pradesh,Sambhal,Bahjoi,,uttar pradesh|sambhal|bahjoi,ssp585,2040-2060,55.795319,#fae259
block,Uttar Pradesh,Azamgarh,Palhana,,uttar pradesh|azamgarh|palhana,ssp585,2040-2060,64.072704,#f7a13f
block,Telangana,Kamareddy,Bhiknur,,telangana|kamareddy|bhiknur,ssp585,2040-2060,72.24465,#f06129
block,Telangana,Nagarkurnool,Telkapalle,,telangana|nagarkurnool|telkapalle,ssp585,2040-2060,78.874369,#e23e28
block,Maharashtra,Ahmednagar,Nevasa,,maharashtra|ahmednagar|nevasa,ssp585,2040-2060,88.419026,#c71d25
block,Rajasthan,Jaisalmer,Sam,,rajasthan|jaisalmer|sam,ssp585,2040-2060,99.990889,#921519
block,Andaman & Nicobar Islands,Nicobars,Campbell Bay,,andaman nicobar islands|nicobars|campbell bay,ssp585,2060-2080,0.110584,#e2f4fd
block,Jammu & Kashmir,Udhampur,Ghordi,,jammu kashmir|udhampur|ghordi,ssp585,2060-2080,11.035402,#99d7f5
block,Tamil Nadu,Sivaganga,Tiruppathur,,tamil nadu|sivaganga|tiruppathur,ssp585,2060-2080,22.454177,#5c9fd5
block,Andhra Pradesh,Vizianagaram,Vangara,,andhra pradesh|vizianagaram|vangara,ssp585,2060-2080,30.449504,#489aa2
block,Bihar,Jamui,Chakai,,bihar|jamui|chakai,ssp585,2060-2080,37.920212,#49af5a
block,Bihar,Gopalganj,Panchdeori,,bihar|gopalganj|panchdeori,ssp585,2060-2080,45.557156,#8cc84e
block,Uttar Pradesh,Ballia,Pandah,,uttar pradesh|ballia|pandah,ssp585,2060-2080,52.814774,#e1e159
block,Delhi,North East,North East,,delhi|north east|north east,ssp585,2060-2080,61.962464,#f8af45
block,Telangana,Rajanna Sircilla,Sircilla,,telangana|rajanna sircilla|sircilla,ssp585,2060-2080,70.07965,#f56d2a
block,Andhra Pradesh,Kurnool,Maddikera (East),,andhra pradesh|kurnool|maddikera east,ssp585,2060-2080,77.265361,#e64929
block,Madhya Pradesh,Morena,Joura,,madhya pradesh|morena|joura,ssp585,2060-2080,88.02662,#c71d25
block,Rajasthan,Jaisalmer,Sam,,rajasthan|jaisalmer|sam,ssp585,2060-2080,99.990889,#921519
district,Andaman & Nicobar Islands,Nicobars,,andaman nicobar islands|nicobars,,historical,1990-2010,0.009111,#e2f4fd
district,Ladakh,Kargil,,ladakh|kargil,,historical,1990-2010,7.680394,#aee0f8
district,Tripura,Dhalai,,tripura|dhalai,,historical,1990-2010,16.481414,#7ebee6
district,Andhra Pradesh,Konaseema,,andhra pradesh|konaseema,,historical,1990-2010,25.446429,#4b90cb
district,Tamil Nadu,Perambalur,,tamil nadu|perambalur,,historical,1990-2010,35.741618,#49a96c
district,Odisha,Jharsuguda,,odisha|jharsuguda,,historical,1990-2010,45.052843,#82c64d
district,Chhattisgarh,Durg,,chhattisgarh|durg,,historical,1990-2010,54.345845,#ebe45a
district,Uttar Pradesh,Ghazipur,,uttar pradesh|ghazipur,,historical,1990-2010,64.294825,#f7a13f
district,Karnataka,Belagavi,,karnataka|belagavi,,historical,1990-2010,73.114067,#ef5d29
district,Maharashtra,Amravati,,maharashtra|amravati,,historical,1990-2010,82.279519,#db3028
district,Gujarat,Amreli,,gujarat|amreli,,historical,1990-2010,91.864067,#b51a21
district,Rajasthan,Jaisalmer,,rajasthan|jaisalmer,,historical,1990-2010,99.990889,#921519
