ruler_a,ruler_b,state,district,district_key,scenario,period,score_a,score_b,delta,abs_delta,rank_a,rank_b,rank_delta
linear,cdf,Andhra Pradesh,Alluri Sitharama Raju,andhra pradesh|alluri sitharama raju,ssp585,2060-2080,79.77151917241126,70.82953717201167,-8.941982000399591,8.941982000399591,563.0,555.0,-8.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,historical,1990-2010,44.05278754686486,31.36024052478135,-12.692547022083513,12.692547022083513,364.0,273.0,-91.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,ssp245,2020-2040,54.396210193039174,43.41775996112731,-10.978450231911864,10.978450231911864,284.0,258.0,-26.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,ssp245,2040-2060,64.74776360421588,57.2004069484937,-7.547356655722176,7.547356655722176,284.0,329.0,45.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,ssp245,2060-2080,73.5932296403699,69.89446671525754,-3.698762925112362,3.698762925112362,193.0,325.0,132.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,ssp585,2020-2040,54.57726800694046,43.59147230320701,-10.985795703733444,10.985795703733444,339.0,299.0,-40.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,ssp585,2040-2060,72.0249423302741,67.8606353255588,-4.1643070047152975,4.1643070047152975,179.0,293.0,114.0
linear,cdf,Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,ssp585,2060-2080,88.65905896815288,83.76214771622938,-4.896911251923498,4.896911251923498,106.0,385.0,279.0
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,historical,1990-2010,45.842387783973834,36.630071671525755,-9.212316112448079,9.212316112448079,234.0,127.0,-107.0
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,ssp245,2020-2040,56.423513418946804,49.69524416909623,-6.728269249850577,6.728269249850577,160.0,119.0,-41.0
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,ssp245,2040-2060,66.18009983370429,63.089467930029166,-3.090631903675124,3.090631903675124,182.0,170.0,-12.0
linear,cdf,Andhra Pradesh,Anantapur,andhra pradesh|anantapur,ssp245,2060-2080,74.76168909765221,76.99921039844511,2.2375213007929062,2.2375213007929062,124.0,116.0,-8.0
