ruler,scenario,period,n_districts,n_scored,composite_min,composite_p25,composite_median,composite_p75,composite_max,composite_iqr,composite_range,pct_score_ge_99,pct_score_le_1,mean_clamped_metrics,pct_below_coverage_gate
linear,historical,1990-2010,784,784,0.0596272502717423,33.30100692263986,43.59489327072453,46.41544701019647,51.584079989546545,13.114440087556616,51.5244527392748,0.0,1.2755102040816326,0.5318877551020408,0.0
linear,ssp245,2020-2040,784,784,8.227073433509982,45.357707873584275,52.89974298549082,55.76099150078466,61.980386364285046,10.403283627200388,53.75331293077507,0.0,0.0,0.10459183673469388,0.0
linear,ssp245,2040-2060,784,784,14.036044065989604,55.98044447962276,62.980703539045194,66.01663675031554,71.61418669065392,10.03619227069278,57.57814262466432,0.0,0.0,0.10459183673469388,0.0
linear,ssp245,2060-2080,784,784,19.306706249985538,64.3021968751853,70.38878291293766,73.54980308221022,80.3176973460045,9.247606207024916,61.010991096018955,0.0,0.0,0.12244897959183673,0.0
linear,ssp585,2020-2040,784,784,8.810629836256728,46.4658926240982,53.9396334203604,56.6076571774233,63.18594950175411,10.141764553325096,54.37531966549738,0.0,0.0,0.10076530612244898,0.0
linear,ssp585,2040-2060,784,784,18.265327277309073,62.748223358828874,68.744230511972,71.73899118550204,78.3321243091742,8.99076782667317,60.066797031865136,0.0,0.0,0.11096938775510204,0.0
linear,ssp585,2060-2080,784,784,29.72028287344347,78.35143203333682,84.1501735889153,87.21858353333074,93.00181901899359,8.867151499993923,63.28153614555012,0.0,0.0,0.889030612244898,0.0
cdf,historical,1990-2010,784,784,1.0837281341107872,15.697089103498545,26.645028547133144,34.207247631195344,49.06477769679302,18.5101585276968,47.98104956268224,0.0,0.0,0.0,0.0
cdf,ssp245,2020-2040,784,784,10.851706754130225,27.68604986637513,38.23645529640428,45.96433886054423,61.41566448007776,18.278288994169102,50.56395772594753,0.0,0.0,0.0,0.0
cdf,ssp245,2040-2060,784,784,17.617377308066086,40.78311011904762,54.91747145286687,62.454749757045676,74.13250121477164,21.671639637998055,56.515123906705554,0.0,0.0,0.0,0.0
cdf,ssp245,2060-2080,784,784,24.623117103984455,52.05603893343053,67.14877915451896,74.43862366375123,85.37642735665696,22.3825847303207,60.753310252672506,0.0,0.0,0.0,0.0
cdf,ssp585,2020-2040,784,784,12.297892371234209,29.48729045189505,40.70517492711372,47.64205235665695,63.8151421282799,18.154761904761898,51.51724975704569,0.0,0.0,0.0,0.0
cdf,ssp585,2040-2060,784,784,23.484572400388725,49.88452077259477,63.80906827016523,71.55737518221575,82.9294217687075,21.67285440962098,59.44484936831877,0.0,0.0,0.0,0.0
cdf,ssp585,2060-2080,784,784,33.49520165208942,65.65912749028183,83.49717565597669,89.57638635811469,95.5416362973761,23.917258867832857,62.04643464528668,0.0,0.0,0.0,0.0
