metric_slug,ruler,higher_is_worse,pooled_n,pooled_min,pooled_max,knot_low,knot_high,n_knots,tied_observations,tied_fraction,modal_value,modal_mass_fraction,grid21_max_score_error,grid21_mean_score_error,knots_json
hwa_heatwave_amplitude,linear,True,5488,11.820031155577155,44.40952114375556,19.367995305303204,43.140836390063875,2,0,0.0,42.64912815936139,0.00018221574344023323,,,"[[19.367995305303204, 0.0], [43.140836390063875, 100.0]]"
hwfi_events_tmean_90p,linear,True,5488,1.3398295972001042,14.306931529361046,1.6165441619942285,12.735117016923821,2,0,0.0,11.242528650838098,0.00018221574344023323,,,"[[1.6165441619942285, 0.0], [12.735117016923821, 100.0]]"
hwfi_tmean_90p,linear,True,5488,10.884359208495143,359.63256178601006,12.692838905514773,282.6692075115527,2,0,0.0,242.8438316509486,0.00018221574344023323,,,"[[12.692838905514773, 0.0], [282.6692075115527, 100.0]]"
tas_annual_mean,linear,True,5488,-1.104917548774618,31.54261111650622,8.028845302108232,30.60724981524165,2,0,0.0,29.042261108032122,0.00018221574344023323,,,"[[8.028845302108232, 0.0], [30.60724981524165, 100.0]]"
tas_summer_mean,linear,True,5488,-2.1922121751698405,35.80744024617419,7.871138742875164,34.58105336133258,2,0,0.0,32.79200127697987,0.00018221574344023323,,,"[[7.871138742875164, 0.0], [34.58105336133258, 100.0]]"
tasmax_summer_mean,linear,True,5488,3.5158066577582643,43.122856389331666,13.233372219007093,41.86281549125812,2,0,0.0,39.88832291165991,0.00018221574344023323,,,"[[13.233372219007093, 0.0], [41.86281549125812, 100.0]]"
tasmin_tropical_nights_gt25,linear,True,5488,0.0,343.2883534213417,0.07892508007569801,252.8375520642354,2,0,0.0,191.63850217143482,0.00018221574344023323,,,"[[0.07892508007569801, 0.0], [252.8375520642354, 100.0]]"
tn90p_warm_nights_pct,linear,True,5488,10.181786101029669,97.99082709917938,10.236732250285987,81.03842893957886,2,0,0.0,71.1961559563207,0.00018221574344023323,,,"[[10.236732250285987, 0.0], [81.03842893957886, 100.0]]"
tnx_annual_max,linear,True,5488,7.587950921333021,36.95755271792627,13.973761086449871,35.805488394822746,2,0,0.0,33.803131753418974,0.00018221574344023323,,,"[[13.973761086449871, 0.0], [35.805488394822746, 100.0]]"
tx90p_hot_days_pct,linear,True,5488,10.230144399196378,98.87135610366776,10.280548247106847,68.48296494529158,2,0,0.0,59.04641099080737,0.00018221574344023323,,,"[[10.280548247106847, 0.0], [68.48296494529158, 100.0]]"
txge30_hot_days,linear,True,5488,1.6491823143482692e-05,362.78424771569416,1.736224735996678,351.98064315320585,2,0,0.0,305.80948497867433,0.00018221574344023323,,,"[[1.736224735996678, 0.0], [351.98064315320585, 100.0]]"
txge35_extreme_heat_days,linear,True,5488,0.0,238.1837306392969,0.003671231773560508,202.92079983939303,2,0,0.0,0.0,0.005466472303206997,,,"[[0.003671231773560508, 0.0], [202.92079983939303, 100.0]]"
txx_annual_max,linear,True,5488,18.198226659325712,49.54360806275448,25.418378893952216,48.63370982587254,2,0,0.0,47.40145790843581,0.00018221574344023323,,,"[[25.418378893952216, 0.0], [48.63370982587254, 100.0]]"
wsdi_warm_spell_days,linear,True,5488,6.185796633257991,359.3757814229664,9.312547613693608,217.42941850968734,2,0,0.0,181.19174131685503,0.00018221574344023323,,,"[[9.312547613693608, 0.0], [217.42941850968734, 100.0]]"
hwa_heatwave_amplitude,cdf,True,5488,11.820031155577155,44.40952114375556,11.820031155577155,44.40952114375556,5488,0,0.0,42.64912815936139,0.00018221574344023323,1.7418154911590165,0.22125703153715165,see cdf_support.csv
hwfi_events_tmean_90p,cdf,True,5488,1.3398295972001042,14.306931529361046,1.3398295972001042,14.306931529361046,5488,0,0.0,11.242528650838098,0.00018221574344023323,3.964386238653372,0.365126151730932,see cdf_support.csv
hwfi_tmean_90p,cdf,True,5488,10.884359208495143,359.63256178601006,10.884359208495143,359.63256178601006,5488,0,0.0,242.8438316509486,0.00018221574344023323,4.028309378819172,0.4226813541555324,see cdf_support.csv
tas_annual_mean,cdf,True,5488,-1.104917548774618,31.54261111650622,-1.104917548774618,31.54261111650622,5488,0,0.0,29.042261108032122,0.00018221574344023323,1.7621084896999974,0.2579913082878377,see cdf_support.csv
tas_summer_mean,cdf,True,5488,-2.1922121751698405,35.80744024617419,-2.1922121751698405,35.80744024617419,5488,0,0.0,32.79200127697987,0.00018221574344023323,1.7261158094063744,0.23490962019741668,see cdf_support.csv
tasmax_summer_mean,cdf,True,5488,3.5158066577582643,43.122856389331666,3.5158066577582643,43.122856389331666,5488,0,0.0,39.88832291165991,0.00018221574344023323,1.7553903624992415,0.24004895466539983,see cdf_support.csv
tasmin_tropical_nights_gt25,cdf,True,5488,0.0,343.2883534213417,0.0,343.2883534213417,5488,0,0.0,191.63850217143482,0.00018221574344023323,2.2934801876517668,0.2559761799689054,see cdf_support.csv
tn90p_warm_nights_pct,cdf,True,5488,10.181786101029669,97.99082709917938,10.181786101029669,97.99082709917938,5488,0,0.0,71.1961559563207,0.00018221574344023323,4.2352150225767815,0.3927666486573825,see cdf_support.csv
tnx_annual_max,cdf,True,5488,7.587950921333021,36.95755271792627,7.587950921333021,36.95755271792627,5488,0,0.0,33.803131753418974,0.00018221574344023323,1.5662379966455688,0.21745269127714736,see cdf_support.csv
tx90p_hot_days_pct,cdf,True,5488,10.230144399196378,98.87135610366776,10.230144399196378,98.87135610366776,5488,0,0.0,59.04641099080737,0.00018221574344023323,4.238430230791941,0.47587706650006567,see cdf_support.csv
txge30_hot_days,cdf,True,5488,1.6491823143482692e-05,362.78424771569416,1.6491823143482692e-05,362.78424771569416,5488,0,0.0,305.80948497867433,0.00018221574344023323,1.1557893397196324,0.21241709414293597,see cdf_support.csv
txge35_extreme_heat_days,cdf,True,5488,0.0,238.1837306392969,0.0,238.1837306392969,5459,29,0.0052842565597667635,0.0,0.005466472303206997,2.0686128893786417,0.25235815228777286,see cdf_support.csv
txx_annual_max,cdf,True,5488,18.198226659325712,49.54360806275448,18.198226659325712,49.54360806275448,5488,0,0.0,47.40145790843581,0.00018221574344023323,2.0256315062572514,0.235356519635124,see cdf_support.csv
wsdi_warm_spell_days,cdf,True,5488,6.185796633257991,359.3757814229664,6.185796633257991,359.3757814229664,5488,0,0.0,181.19174131685503,0.00018221574344023323,3.895388739805501,0.5394444472830553,see cdf_support.csv
