ruler,state,district,block,block_key,scenario,period,composite,weight_coverage,composite_gated,clamped_metric_count,composite_baseline_referenced,coverage_baseline_referenced,composite_absolute_threshold,coverage_absolute_threshold,score__tas_annual_mean,score__tasmax_summer_mean,score__tas_summer_mean,score__txx_annual_max,score__tn90p_warm_nights_pct,score__hwa_heatwave_amplitude,score__txge30_hot_days,score__txge35_extreme_heat_days,score__tasmin_tropical_nights_gt25,score__hwfi_tmean_90p,score__hwfi_events_tmean_90p,score__wsdi_warm_spell_days,score__tnx_annual_max,score__tx90p_hot_days_pct
cdf,Telangana,Adilabad,Adilabad Urban,telangana|adilabad|adilabad urban,historical,1990-2010,46.03903591451238,1.0,46.03903591451238,0,11.877410390351086,1.0,65.81681911271103,1.0000000000000004,65.33981362012396,85.26983562581772,86.5176744702057,68.19217728851437,8.681887798528082,65.86407244876592,63.17931700410735,55.695217036676965,33.143261375976714,12.362582877452287,13.722613081634332,13.891758492463499,68.54435026624594,11.235793452334923
cdf,Telangana,Adilabad,Aidilabad Rural,telangana|adilabad|aidilabad rural,historical,1990-2010,45.9137541096069,1.0,45.9137541096069,0,11.88032555833344,1.0,65.61731800771258,1.0000000000000004,65.18219766793837,85.21647547523821,86.46187807416341,68.03824748254785,8.675944813654656,65.00587689797356,63.04082350662537,55.644976297058065,33.077225977082364,12.36584206636323,13.736229697636066,13.897332702849504,68.43578859951197,11.234696116416895
cdf,Telangana,Adilabad,Bazarhatnoor,telangana|adilabad|bazarhatnoor,historical,1990-2010,41.40738624890192,1.0,41.40738624890192,0,12.58536690771233,1.0,58.09381849906429,1.0000000000000004,56.01200067269069,80.17245633787734,81.39604757853057,60.08024319764415,11.270555734422311,58.310332878422706,48.11608370742973,51.247323519301546,28.8807914478893,12.277815107668067,13.905654687286882,13.990919633793133,58.07835238230802,11.684000171272478
cdf,Telangana,Adilabad,Bela,telangana|adilabad|bela,historical,1990-2010,44.55361110532221,1.0,44.55361110532221,0,11.77219527514427,1.0,63.53232553331996,1.0000000000000004,62.05779416565099,83.58588874562574,85.13643382966664,67.1591420667862,8.980212120545838,63.05220793964358,56.0703589477968,53.73066440740656,32.46345921761384,11.747830668524006,13.842363493758501,13.852755997994318,67.74830574474181,10.88008443204905
cdf,Telangana,Adilabad,Bheempur,telangana|adilabad|bheempur,historical,1990-2010,49.40778836542923,1.0,49.40778836542923,0,11.026666231713902,1.0,71.6284380217907,1.0000000000000004,72.62516848710473,89.18094883931126,90.15814703797223,74.12400709217873,6.033910935270276,71.54380559175394,75.54262750448027,61.19292915979734,36.00446688882441,12.268141686030337,13.869582879707918,14.072895028229015,73.68110743460576,9.626440440654068
cdf,Telangana,Adilabad,Boath,telangana|adilabad|boath,historical,1990-2010,40.22055735923305,1.0,40.22055735923305,0,12.586548890328038,1.0,56.21919384123068,1.0000000000000004,54.16894904521712,78.84336797629105,79.53243087001377,57.73962802312361,12.624420562097326,56.82965900501861,45.37881255883811,49.918393878228805,28.0540269743885,11.372402828085272,13.38516846242105,13.87907229921764,54.974751403536374,11.71415319314529
cdf,Telangana,Adilabad,Gadiguda,telangana|adilabad|gadiguda,historical,1990-2010,42.19956611356799,1.0,42.19956611356799,0,11.50765983438718,1.0,59.96856448572529,1.0000000000000004,57.2394682516301,81.19721822676476,82.66448320914604,64.00827461575702,8.607118509914189,59.864214500142644,46.9077939691854,51.392426772885386,30.47612579824973,11.125994485638145,13.86323881008701,13.843635686091007,64.98323499165429,10.576707807954943
cdf,Telangana,Adilabad,Gudihatnur,telangana|adilabad|gudihatnur,historical,1990-2010,44.47384906192587,1.0,44.47384906192587,0,11.879051410770813,1.0,63.34452138627878,1.0000000000000004,63.013657947905266,83.43054464486355,85.13231634128394,65.49934464481294,8.699754456960287,62.63821033102694,59.279336067225465,54.15052928752358,31.64662965331789,12.08138607509639,13.910095135717679,13.935145212889312,64.94799550772878,11.284528112983967
cdf,Telangana,Adilabad,Ichoda,telangana|adilabad|ichoda,historical,1990-2010,43.2333291728776,1.0,43.2333291728776,0,12.294262494686889,1.0,61.14542040761959,1.0000000000000004,60.66531027783529,81.70133568188201,83.83927515865514,62.12178304514082,11.27033284889705,60.62139264815426,56.263073925559894,53.08536540527791,30.5347663364448,11.037135112637705,13.706390643700841,13.826175353050594,61.36339747011214,11.86788583072511
cdf,Telangana,Adilabad,Indervelly,telangana|adilabad|indervelly,historical,1990-2010,45.45904518512416,1.0,45.45904518512416,0,11.695900673202416,1.0,65.00612884992096,1.0000000000000004,64.97727543383807,84.45186126153718,86.14732297673456,66.777885684627,8.730331700632536,64.45072691943234,63.032078076884574,55.19628196517025,32.854506195172476,11.271453418413175,13.837003913065136,13.838089714901772,66.86313240983772,11.329434864007752
