ruler_a,ruler_b,scenario,period,n_compared,mean_abs_delta,p95_abs_delta,max_abs_delta,median_delta,spearman_rank_corr,max_abs_rank_delta,worst_n,worst_n_overlap,worst_decile_overlap_pct,pct_abs_delta_gt10,pct_abs_delta_gt20
linear,cdf,historical,1990-2010,784,13.164849335685846,18.77709222292597,19.844499778959108,-13.974183090753371,0.9794713609874728,190.0,50,36,78.2051282051282,78.95408163265306,0.0
linear,cdf,ssp245,2020-2040,784,11.747187491289706,18.51224238125679,20.08718401082989,-12.145555124002069,0.9894048826793328,165.0,50,41,82.05128205128206,66.58163265306123,0.12755102040816327
linear,cdf,ssp245,2040-2060,784,7.777687302836701,15.991568055207535,17.844260130934714,-7.698733510211472,0.9719817438652745,196.0,50,29,65.38461538461539,34.566326530612244,0.0
linear,cdf,ssp245,2060-2080,784,5.7372603095527275,14.016758945988148,16.70262604555107,-2.9878004136820735,0.9406511575971884,381.0,50,25,57.69230769230769,20.02551020408163,0.0
linear,cdf,ssp585,2020-2040,784,10.87386364129723,17.468824470261033,18.72486172893945,-11.236221069839665,0.989484145660607,123.0,50,42,80.76923076923077,59.82142857142857,0.0
linear,cdf,ssp585,2040-2060,784,5.949936660209555,14.172076742184986,16.240760081091423,-4.199314514227865,0.9537329054178229,342.0,50,26,56.41025641025641,22.448979591836736,0.0
linear,cdf,ssp585,2060-2080,784,6.482763522939203,17.164015112534823,19.78213422947664,-0.9502944517044298,0.8925373074675124,370.0,50,21,50.0,25.255102040816325,0.0
