view,scenario,delta_n,delta_mean,delta_std,delta_p05,delta_median,delta_p95,delta_min,delta_max,median_abs_rank_shift,p95_abs_rank_shift,moved_gt_5,moved_gt_10,district_rows,seed,states,median_spearman,median_kendall,median_state_p95_abs_rank_shift,spearman,kendall
within_state,S1_correlated_hwa,781,0.29637704135521653,1.0155149130436094,-1.3638030163952095,0.31436885220494304,1.8415438518195373,-2.1755776830331115,2.6626962481636056,0.0,3.0,7,0,781,,31.0,0.9942157953281423,0.9604743083003953,1.0,,
within_state,S2_cold_favoring_tas_inverse,781,-0.991787711620769,2.559607979973543,-4.387647693426146,-1.4172956387145774,4.166666666666657,-6.250000000000014,6.2500000000000036,0.0,3.0,16,2,781,,31.0,0.9901960784313726,0.948051948051948,1.75,,
within_state,S3_shuffled_hwa,781,0.29637704135521653,1.9770723953241254,-3.3949569745158144,0.4707983228392507,3.347704378143675,-5.6418153019779,6.181406151967698,1.0,5.0,39,11,781,20260715.0,31.0,0.9819311123658953,0.913978494623656,2.8999999999999986,,
national_pooled_caveated,S1_correlated_hwa,781,1.2322089144459047,0.4526141274254462,0.3721976714365951,1.3825578118808721,1.7422409254379758,-0.564314858213919,1.8598159419476374,6.0,24.0,403,237,781,,,,,,0.9983043576502025,0.971134968318067
national_pooled_caveated,S2_cold_favoring_tas_inverse,781,-2.920064925864013,1.5726827612167564,-4.155555073253694,-3.4080053533149908,0.7728497880628957,-4.359652843706982,5.718108641351964,7.0,24.0,436,262,781,,,,,,0.9985694324406906,0.9710561738730754
national_pooled_caveated,S3_shuffled_hwa,781,1.2322089144459045,1.2353723917119175,-1.0789405048313867,1.3939758064509107,2.9859606303202,-4.343104295049301,5.4109266322106535,20.0,97.0,607,510,781,20260715.0,,,,,0.9757748645216676,0.8906727075741162
